#{"t_start": 1659557964.1615949, "env_id": null}
r,l,t,fractional_success
1.269475,834,19.156722,0.0
0.771986,834,38.314263,0.0
0.733429,834,58.583356,0.0
1.051805,834,77.240032,0.0
1.305302,834,95.455761,0.0
1.18141,834,113.644993,0.0
1.218131,834,131.91913,0.0
0.935167,834,152.052472,0.0
0.671738,834,171.145766,0.0
1.002188,834,190.821861,0.0
1.008292,834,209.902026,0.0
1.207733,834,227.92636,0.0
1.399657,834,246.199847,0.0
0.983934,834,264.842725,0.0
1.569402,834,284.598954,0.0
1.143437,834,303.653228,0.0
1.446877,834,323.218674,0.0
1.931084,834,342.089725,0.0
1.492462,834,361.847132,0.0
1.306261,834,380.110984,0.0
1.398892,834,399.288042,0.0
1.007929,834,419.845924,0.0
1.573874,834,438.588329,0.0
1.69652,834,456.758045,0.0
1.092372,834,476.152741,0.0
1.18617,834,495.439321,0.0
0.846641,834,514.822859,0.0
1.251033,834,534.068135,0.0
1.501584,834,553.606893,0.0
2.024914,834,571.058673,0.0
1.423927,834,589.588476,0.0
1.540308,834,610.395491,0.0
1.656265,834,629.388033,0.0
1.602396,834,647.77276,0.0
1.708471,834,665.758821,0.0
1.066979,834,683.959218,0.0
1.289092,834,702.400635,0.0
1.051148,834,720.538398,0.0
1.252787,834,739.171856,0.0
1.28779,834,756.784987,0.0
1.110098,834,775.094285,0.0
1.537172,834,792.342575,0.0
1.683306,834,810.733754,0.0
1.667749,834,829.182311,0.0
2.035148,834,847.563736,0.0
1.810012,834,866.071465,0.0
2.006776,834,884.198508,0.0
1.810543,834,901.538979,0.0
2.077332,834,919.842824,0.0
1.534708,834,938.067781,0.0
1.413432,834,955.896116,0.0
1.321093,834,973.683356,0.0
1.375055,834,991.579291,0.0
1.477051,834,1009.391408,0.0
1.306723,834,1028.715186,0.0
1.487661,834,1046.927092,0.0
1.723412,834,1066.39187,0.0
1.219018,834,1084.832997,0.0
1.312079,834,1103.650682,0.0
1.338498,834,1120.921629,0.0
1.049715,834,1138.639833,0.0
1.729352,834,1157.062981,0.0
1.283021,834,1175.190102,0.0
1.194606,834,1194.071282,0.0
1.255701,834,1212.846011,0.0
1.792157,834,1230.295341,0.0
1.840533,834,1246.79456,0.0
1.287653,834,1263.325032,0.0
1.343044,834,1279.339895,0.0
1.095704,834,1295.120403,0.0
1.504465,834,1311.888541,0.0
1.417822,834,1327.550389,0.0
1.517002,834,1343.799622,0.0
1.650076,834,1360.314467,0.0
1.49589,834,1377.032402,0.0
1.564065,834,1393.391004,0.0
1.359469,834,1409.608988,0.0
1.521008,834,1425.373868,0.0
1.299042,834,1441.860585,0.0
1.36698,834,1458.203561,0.0
1.267599,834,1474.280926,0.0
1.404477,834,1490.73327,0.0
1.544331,834,1507.419987,0.0
1.32871,834,1523.341105,0.0
1.83294,834,1540.059063,0.0
1.801403,834,1556.558284,0.0
1.839492,834,1572.963757,0.0
1.894381,834,1589.384856,0.0
1.825131,834,1607.227762,0.0
1.778034,834,1622.539539,0.0
1.931915,834,1639.63248,0.0
1.82466,834,1656.944162,0.0
1.8245,834,1673.599623,0.0
1.958199,834,1690.426955,0.0
