r,l,t,fractional_success

0.791911,834,4.387805,0.0

-1.260312,834,14.665209,0.0

2.15901,834,26.56024,0.0

6.080851,834,37.78648,0.0

8.795291,834,49.195538,0.9993621668424875

10.455591,834,60.248532,0.2290984040363102

4.187041,834,70.182645,0.0

6.959117,834,79.979763,0.0

3.632459,834,89.928075,0.0

6.616339,834,99.884234,0.0

1.666748,834,109.884487,0.0

4.958709,834,120.135932,0.0

3.691861,834,130.491684,0.0

1.998172,834,141.026683,0.0

0.920766,834,151.313729,0.0

2.650189,834,161.516828,0.0

0.812763,834,171.384375,0.0

2.978549,834,181.313514,0.0

2.581565,834,191.183927,0.0

1.63319,834,201.217485,0.0

0.874594,834,211.24904,0.0

2.501034,834,220.998575,0.0

5.409486,834,230.829106,0.0

5.607228,834,241.163144,0.0

1.48953,834,251.131392,0.0

1.746189,834,261.075809,0.0

1.965134,834,271.123059,0.0

2.656149,834,282.272581,0.0

2.29501,834,293.005265,0.0

2.54625,834,303.615974,0.0

0.302512,834,314.981282,0.0

0.728925,834,325.910485,0.0

1.841509,834,337.345247,0.0

1.664632,834,348.16288,0.0

1.105444,834,359.7301,0.0

2.170093,834,370.001567,0.0

2.034571,834,380.04796,0.0

1.316323,834,390.156852,0.0

1.36346,834,400.203247,0.0

2.363389,834,410.218392,0.0

1.775695,834,420.499151,0.0

1.460137,834,430.420553,0.0

2.02142,834,440.451323,0.0

1.548335,834,450.466474,0.0

1.432096,834,460.684733,0.0

1.919156,834,471.090482,0.0

1.815592,834,481.152503,0.0

1.709398,834,491.230146,0.0

2.157771,834,501.448408,0.0

1.479537,834,511.526051,0.0

1.813313,834,521.525573,0.0

2.184304,834,531.61884,0.0

1.861204,834,541.665236,0.0

1.927392,834,551.758581,0.0

1.963596,834,561.804899,0.0

2.439455,834,571.882542,0.0

1.903442,834,581.94456,0.0

1.913868,834,591.944081,0.0

0.969293,834,601.959228,0.0

1.127843,834,612.114991,0.0

1.947431,834,622.598866,0.0

0.775656,834,632.754693,0.0

1.313923,834,642.972891,0.0

1.748709,834,653.128658,0.0

2.341999,834,663.518785,0.0

1.791746,834,673.846416,0.0

1.794423,834,684.095926,0.0

2.157178,834,694.267315,0.0

2.318638,834,704.454329,0.0

2.237177,834,714.610093,0.0

1.632667,834,724.922098,0.0

2.469719,834,735.265356,0.0

2.168582,834,745.702356,0.0

2.425481,834,755.748752,0.0

2.091059,834,766.045136,0.0

2.308022,834,776.419639,0.0

2.168293,834,786.653527,0.0

3.411508,834,796.856162,0.0

2.742135,834,807.090047,0.0

2.076753,834,817.323934,0.0

1.412734,834,827.745313,0.0

1.13162,834,838.119814,0.0

2.642983,834,848.509942,0.0

6.333918,834,858.900071,0.0

3.241003,834,869.290201,0.0

2.559548,834,879.57096,0.0

1.586687,834,889.851715,0.0

1.551149,834,900.101226,0.0

1.842702,834,910.444486,0.0

2.407521,834,920.850235,0.0

1.648186,834,931.177866,0.0

3.6991,834,941.77111,0.0

1.40433,834,952.020622,0.0

2.322423,834,962.457621,0.0

2.197274,834,972.847752,0.0

2.715933,834,983.86285,0.0

1.06672,834,994.11236,0.0

1.513109,834,1004.330619,0.0

1.881827,834,1014.564505,0.0

1.755484,834,1024.876513,0.0

1.710135,834,1035.440778,0.0

1.77494,834,1046.104301,0.0

1.448992,834,1056.806914,0.0

1.659401,834,1067.056425,0.0

1.821734,834,1077.509052,0.0

1.49106,834,1087.852305,0.0

2.190473,834,1098.461175,0.0

1.773197,834,1108.741931,0.0

1.807738,834,1119.210182,0.0

1.855558,834,1129.569062,0.0

2.239137,834,1139.896693,0.0

2.664794,834,1150.349319,0.0

1.610399,834,1160.786319,0.0

1.886623,834,1171.067078,0.0

2.085637,834,1181.472831,0.0

2.100123,834,1191.909833,0.0

1.692972,834,1202.19059,0.0

1.383585,834,1212.5026,0.0

1.684409,834,1222.923974,0.0

1.765281,834,1233.268392,0.0

1.681322,834,1243.797974,0.0

1.654639,834,1254.094361,0.0

1.965356,834,1264.765725,0.0

1.914933,834,1275.483961,0.0

1.598255,834,1285.87409,0.0

2.099767,834,1296.170473,0.0

1.331457,834,1306.607505,0.0

1.240659,834,1316.997603,0.0

2.419442,834,1327.512724,0.0

2.452696,834,1337.980969,0.0

-1.462453,834,1348.527337,0.0

1.991809,834,1358.933092,0.0

2.067843,834,1369.338844,0.0

1.868681,834,1379.650852,0.0

2.087431,834,1390.134724,0.0

