#{"t_start": 1659509339.7317328, "env_id": null}
r,l,t,fractional_success
-0.612002,834,16.760982,0.0
-1.202215,834,28.676551,0.0
-0.566993,834,40.442936,0.0
-0.917191,834,51.802386,0.0
-1.131198,834,63.080757,0.0
-0.696803,834,74.760257,0.0
-0.183493,834,87.525329,0.0
-0.132909,834,103.468066,0.0
-0.343274,834,115.618625,0.0
-1.167987,834,127.501716,0.0
-0.389697,834,139.1672,0.0
-0.406159,834,151.645605,0.0
-1.057195,834,164.169068,0.0
-0.554948,834,176.343614,0.0
-0.764664,834,192.33678,0.0
