#{"t_start": 1659557965.1486425, "env_id": null}
r,l,t,fractional_success
1.629749,834,18.171674,0.0
1.385086,834,37.245218,0.0
1.321095,834,57.628305,0.0
1.009929,834,76.243985,0.0
1.200962,834,94.284722,0.0
1.476822,834,112.55595,0.0
0.553235,834,130.955083,0.0
1.050649,834,150.898433,0.0
1.358111,834,170.158719,0.0
1.292869,834,189.822149,0.0
1.235133,834,208.906979,0.0
0.71821,834,226.820318,0.0
1.297463,834,245.137803,0.0
1.352095,834,263.855677,0.0
1.809972,834,283.582783,0.0
1.610681,834,302.673179,0.0
1.226851,834,322.083634,0.0
1.27732,834,341.099677,0.0
1.560449,834,360.844085,0.0
1.309898,834,379.218931,0.0
1.266694,834,398.302992,0.0
0.979684,834,418.868874,0.0
0.922022,834,437.571285,0.0
1.4568,834,455.786996,0.0
1.475662,834,475.142696,0.0
1.097792,834,494.319283,0.0
1.57,834,513.867809,0.0
0.927227,834,532.933098,0.0
1.243382,834,552.854838,0.0
1.640805,834,570.139619,0.0
1.052049,834,588.61143,0.0
1.083231,834,609.249452,0.0
1.470413,834,628.273993,0.0
1.614654,834,646.906704,0.0
1.420932,834,664.756775,0.0
1.286794,834,682.860176,0.0
1.503037,834,701.419586,0.0
1.409731,834,719.666346,0.0
1.631067,834,737.997816,0.0
1.417164,834,755.947929,0.0
1.569855,834,774.150236,0.0
1.685355,834,791.466562,0.0
1.176722,834,809.841701,0.0
1.258174,834,828.102269,0.0
1.045977,834,846.554176,0.0
1.731857,834,864.810392,0.0
1.501636,834,883.239458,0.0
1.506235,834,900.574929,0.0
1.150931,834,918.985768,0.0
1.449797,834,937.079734,0.0
1.290901,834,954.923071,0.0
1.27941,834,972.668316,0.0
1.271116,834,990.685239,0.0
1.537847,834,1008.386357,0.0
1.474552,834,1027.72214,0.0
1.041482,834,1046.04204,0.0
1.455569,834,1065.561817,0.0
2.080757,834,1083.845949,0.0
2.034612,834,1102.643635,0.0
1.682938,834,1119.73359,0.0
1.708942,834,1137.66578,0.0
2.041987,834,1156.059933,0.0
1.668576,834,1174.195056,0.0
1.426863,834,1193.107228,0.0
1.38325,834,1211.860965,0.0
1.355814,834,1229.355171,0.0
