#{"t_start": 1659570959.214101, "env_id": null}
r,l,t,fractional_success
1.245913,834,17.879101,0.0
1.292053,834,34.606266,0.0
0.588127,834,50.123755,0.0
0.884179,834,65.554062,0.0
1.269185,834,81.3635,0.0
1.044247,834,96.912242,0.0
1.277458,834,112.666417,0.0
1.040098,834,129.33202,0.0
1.122089,834,146.140444,0.0
1.016916,834,161.392937,0.0
1.295257,834,177.099251,0.0
1.095594,834,193.229224,0.0
1.120678,834,209.584185,0.0
1.278453,834,225.510691,0.0
0.953784,834,241.134289,0.0
1.240144,834,256.966931,0.0
1.448139,834,272.747376,0.0
1.395434,834,288.607124,0.0
1.457866,834,304.313621,0.0
1.5291,834,319.607276,0.0
0.49365,834,335.291821,0.0
1.1708,834,351.189015,0.0
1.069617,834,367.022906,0.0
1.140902,834,382.751502,0.0
1.143676,834,399.658082,0.0
1.022326,834,417.389375,0.0
1.063509,834,434.581117,0.0
1.14146,834,450.197017,0.0
1.330628,834,466.152918,0.0
1.014057,834,481.395479,0.0
1.163958,834,497.310237,0.0
1.179938,834,512.970523,0.0
1.713247,834,528.658693,0.0
1.290326,834,544.337839,0.0
1.092735,834,559.996103,0.0
1.197503,834,575.713735,0.0
1.187744,834,591.239189,0.0
1.360131,834,606.856351,0.0
1.103867,834,622.505646,0.0
0.647455,834,637.972685,0.0
1.198522,834,653.607632,0.0
1.106719,834,669.467228,0.0
0.922519,834,685.444935,0.0
1.244199,834,701.477964,0.0
1.350728,834,717.596708,0.0
1.51148,834,733.391978,0.0
1.136608,834,749.258619,0.0
1.410379,834,764.569904,0.0
1.235745,834,780.282176,0.0
1.472482,834,795.473316,0.0
1.452335,834,813.789748,0.0
1.331974,834,830.172305,0.0
1.677069,834,845.791801,0.0
1.488467,834,861.533455,0.0
1.299759,834,877.081238,0.0
1.393642,834,892.863986,0.0
1.35033,834,908.536075,0.0
1.824195,834,924.505896,0.0
2.281172,834,939.995224,0.0
1.367494,834,955.147982,0.0
1.610197,834,970.490504,0.0
3.024658,834,985.500353,0.0
1.722745,834,1000.927873,0.0
1.54089,834,1016.610686,0.0
1.424143,834,1032.31147,0.0
1.268508,834,1048.344896,0.0
1.592193,834,1064.271672,0.0
1.450049,834,1080.014745,0.0
0.887058,834,1095.817208,0.0
1.102365,834,1111.020089,0.0
1.440433,834,1127.394476,0.0
1.365134,834,1143.565493,0.0
1.573228,834,1159.770549,0.0
1.375321,834,1175.290993,0.0
1.243636,834,1191.355397,0.0
1.559949,834,1207.654468,0.0
0.717475,834,1223.793562,0.0
