#{"t_start": 1659450762.3245032, "env_id": null}
r,l,t,fractional_success
0.195707,834,22.858229,0.0
1.233132,834,44.689679,0.0
1.081914,834,65.607706,0.0
0.822379,834,85.84268,0.0
1.617296,834,106.076995,0.0
1.194827,834,127.175644,0.0
1.456522,834,149.966191,0.0
1.650923,834,171.887793,0.0
1.782654,834,193.689568,0.0
1.479059,834,214.76185,0.0
1.543437,834,235.816218,0.0
1.668084,834,258.943011,0.07971725324270285
2.044207,834,280.332757,0.0
1.641149,834,302.844662,0.0
2.233856,834,324.549966,0.0
1.793551,834,347.268373,0.0
1.355179,834,368.743567,0.0
2.080739,834,392.933203,0.0
1.630584,834,415.67308,0.22411074052153282
2.075882,834,439.058226,0.0
1.557337,834,459.999898,0.0
1.529593,834,480.790214,0.0
1.91139,834,502.609575,0.0
2.400318,834,523.307637,0.402601724687348
1.638226,834,544.901374,0.0
1.311661,834,565.915192,0.0
1.829309,834,586.513567,0.0
1.967967,834,605.375703,0.0
2.193259,834,626.343513,0.0
2.142027,834,645.842501,0.0
1.582896,834,668.228811,0.0
1.878085,834,690.539794,0.0
1.508126,834,712.188604,0.0
1.340411,834,734.255767,0.0
1.96588,834,755.800978,0.0
1.572963,834,781.134186,0.0
1.737715,834,804.564086,0.0
1.912601,834,826.891753,0.0
1.867551,834,848.025946,0.0
1.852785,834,869.774198,0.0
2.061513,834,889.684713,0.0
1.509853,834,910.809691,0.0
1.743495,834,932.280335,0.0
1.580954,834,953.786247,0.0
1.604363,834,974.368656,0.0
1.700169,834,997.287568,0.0
1.97926,834,1017.710768,0.0
1.879186,834,1040.3012,0.0
1.645625,834,1062.240768,0.0
1.56484,834,1083.025026,0.0
1.535223,834,1106.120519,0.0
1.64456,834,1126.530613,0.0
1.773527,834,1147.157815,0.0
1.456739,834,1171.616742,0.0
1.748949,834,1193.105742,0.0
1.648607,834,1216.537001,0.0
2.154363,834,1240.214037,0.0
1.746788,834,1265.127133,0.0
1.695813,834,1287.425844,0.0
1.616292,834,1312.746795,0.0
1.819823,834,1339.186455,0.0
1.704815,834,1364.095689,0.0
1.57223,834,1387.35848,0.0
1.643747,834,1410.404986,0.0
1.801393,834,1431.465571,0.0
1.677238,834,1454.483054,0.0
1.560457,834,1478.188082,0.0
1.769792,834,1506.584964,0.0
1.609069,834,1534.665602,0.0
1.683213,834,1561.988692,0.0
1.73833,834,1586.623244,0.0
1.715648,834,1609.043932,0.0
1.685328,834,1631.162669,0.0
1.691076,834,1655.600849,0.0
1.556149,834,1678.887557,0.0
1.609227,834,1701.477286,0.0
1.839146,834,1723.255688,0.0
1.785267,834,1746.233832,0.0
1.71134,834,1769.126914,0.0
1.915141,834,1791.789337,0.0
1.890116,834,1820.519235,0.0
1.607042,834,1854.796134,0.0
1.75636,834,1877.609896,0.0
1.769082,834,1900.251331,0.0
2.017184,834,1922.124028,0.0
1.889595,834,1943.810382,0.0
1.900354,834,1967.96337,0.0
1.951821,834,1991.755337,0.0
1.574089,834,2014.310896,0.0
1.976832,834,2035.077517,0.0
1.687348,834,2058.48521,0.0
2.043027,834,2080.846404,0.0
1.755837,834,2108.705834,0.0
1.791207,834,2134.629397,0.0
2.090318,834,2158.805658,0.0
2.153065,834,2183.798018,0.0
1.716346,834,2207.163276,0.0
1.645008,834,2232.067086,0.0
1.59877,834,2255.929566,0.0
2.44261,834,2279.054818,0.0
1.997964,834,2305.062169,0.0
1.792047,834,2327.781125,0.0
2.116036,834,2352.400175,0.0
1.7339,834,2376.761339,0.0
2.125761,834,2401.708205,0.0
2.137108,834,2430.314554,0.0
2.280603,834,2453.706423,0.0
2.088976,834,2477.10413,0.0
1.743858,834,2500.392304,0.0
1.953599,834,2524.156914,0.0
2.018748,834,2548.150332,0.0
2.101846,834,2572.12977,0.0
2.087412,834,2596.220965,0.0
2.139865,834,2617.65505,0.0
1.738387,834,2641.087861,0.0
1.948963,834,2664.795779,0.0
1.627108,834,2689.368464,0.0
1.78074,834,2713.692593,0.0
1.665443,834,2737.63944,0.0
1.963335,834,2763.432001,0.0
1.492702,834,2787.261945,0.0
2.388647,834,2811.383398,0.0
1.70895,834,2834.940853,0.0
2.156322,834,2859.402663,0.0
1.519529,834,2883.261786,0.0
1.7325,834,2907.636858,0.0
1.68468,834,2929.675474,0.0
2.098783,834,2952.627734,0.0
1.726258,834,2977.245908,0.0
1.469542,834,3001.073283,0.0
2.074177,834,3026.98526,0.0
1.613773,834,3050.130951,0.0
1.728527,834,3074.925453,0.0
1.74415,834,3099.934698,0.0
1.592096,834,3125.046511,0.0
1.652901,834,3151.875092,0.0
1.601255,834,3176.64784,0.0
1.578821,834,3201.577688,0.0
2.053431,834,3227.415796,0.0
1.60736,834,3251.114686,0.0
1.704881,834,3280.41296,0.0
1.678037,834,3306.39429,0.0
1.795397,834,3339.033219,0.0
1.693168,834,3368.685704,0.0
1.77638,834,3396.219954,0.0
1.867268,834,3422.584859,0.0
1.722311,834,3451.406121,0.0
1.615067,834,3476.569245,0.0
2.112902,834,3504.747442,0.0
2.049612,834,3527.74864,0.0
2.299428,834,3551.586964,0.0
2.068116,834,3575.892864,0.0
1.785791,834,3600.844278,0.0
2.058696,834,3626.305194,0.0
2.071279,834,3652.02019,0.0
1.566247,834,3673.976436,0.0
2.225396,834,3699.665564,0.0
1.610928,834,3723.525477,0.0
1.962843,834,3746.667675,0.0
1.790764,834,3768.956472,0.0
1.955724,834,3791.150372,0.0
1.834484,834,3815.737104,0.0
2.12742,834,3839.194588,0.0
1.745477,834,3865.64607,0.0
1.769161,834,3891.912261,0.0
1.719822,834,3917.263901,0.0
1.98371,834,3940.496397,0.0
1.786006,834,3962.106164,0.0
1.686907,834,3986.437606,0.0
1.820685,834,4009.724959,0.0
1.62494,834,4033.485916,0.0
2.148896,834,4057.041815,0.0
2.119739,834,4080.072424,0.0
1.995979,834,4105.019538,0.0
1.943132,834,4126.930072,0.0
1.86011,834,4151.973749,0.0
1.995962,834,4174.779941,0.0
1.665635,834,4198.544673,0.0
2.125076,834,4220.285369,0.0
2.168678,834,4243.592998,0.0
1.695844,834,4265.452897,0.0
1.973757,834,4288.778963,0.0
2.034514,834,4311.733722,0.0
2.214797,834,4335.080601,0.0
2.15459,834,4360.906876,0.0
2.224523,834,4382.779532,0.0
2.182351,834,4404.950366,0.0
1.973708,834,4428.978614,0.0
2.062412,834,4454.128732,0.0
1.808686,834,4477.491673,0.0
1.953683,834,4498.729565,0.0
2.089275,834,4520.931544,0.0
1.894187,834,4543.211494,0.0
2.120321,834,4567.178666,0.0
2.111884,834,4590.00581,0.0
1.633317,834,4611.926774,0.0
2.25701,834,4637.045607,0.0
1.814346,834,4660.081088,0.0
2.049066,834,4686.149008,0.0
1.968667,834,4710.227628,0.0
2.167929,834,4733.485943,0.0
1.822589,834,4757.661686,0.0
2.011887,834,4780.503155,0.0
2.046497,834,4802.211366,0.0
1.696263,834,4828.819945,0.0
1.879564,834,4856.011935,0.0
2.140585,834,4880.76314,0.0
1.752927,834,4905.934564,0.0
1.694746,834,4933.055245,0.0
2.264971,834,4958.013722,0.0
1.998308,834,4980.721563,0.0
1.616395,834,5003.903358,0.0
2.161731,834,5027.304146,0.0
1.895985,834,5050.756929,0.0
2.26581,834,5078.904467,0.0
2.120249,834,5100.326356,0.0
1.565486,834,5122.510205,0.0
1.807852,834,5145.729999,0.0
1.911164,834,5168.494821,0.0
1.810175,834,5191.294638,0.0
1.650843,834,5213.936465,0.0
1.655675,834,5235.367354,0.0
2.178472,834,5257.84319,0.0
2.022074,834,5281.298979,0.0
2.165081,834,5306.592664,0.0
2.029143,834,5331.068395,0.0
1.693994,834,5356.692061,0.0
1.792048,834,5380.755809,0.0
2.297726,834,5404.163595,0.0
1.565793,834,5430.274245,0.0
1.885606,834,5455.590935,0.0
2.275226,834,5480.46765,0.0
2.225254,834,5504.852388,0.0
1.806688,834,5527.281228,0.0
2.227127,834,5552.523922,0.0
1.814925,834,5576.531682,0.0
1.853872,834,5602.397569,0.0
2.083868,834,5627.252285,0.0
1.98183,834,5650.444088,0.0
1.81421,834,5674.57584,0.0
1.988402,834,5696.606704,0.0
2.538995,834,5719.53552,0.0
2.163685,834,5744.618222,0.0
2.468117,834,5768.156009,0.0
2.220717,834,5791.546803,0.0
2.103818,834,5814.132635,0.0
1.854793,834,5838.121398,0.0
2.02076,834,5862.617134,0.0
2.014215,834,5887.09287,0.0
1.80015,834,5910.76365,0.0
1.895223,834,5934.824266,0.0
2.22199,834,5959.066015,0.0
1.920839,834,5983.278765,0.0
2.347268,834,6007.482516,0.0
2.409836,834,6032.328234,0.0
1.843174,834,6056.107009,0.0
1.873171,834,6080.047776,0.0
1.749297,834,6102.781696,0.0
1.940524,834,6125.923412,0.0
2.14868,834,6152.084065,0.0
2.196233,834,6176.173825,0.0
1.776548,834,6200.223583,0.0
1.763651,834,6224.127351,0.0
1.671989,834,6247.094168,0.0
2.128676,834,6272.158881,0.0
1.787963,834,6299.539109,0.0
2.098366,834,6325.391711,0.0
1.806755,834,6352.081411,0.0
1.826256,834,6380.697868,0.0
1.825921,834,6409.703521,0.0
1.909619,834,6434.45288,0.0
2.198947,834,6460.440841,0.0
1.733263,834,6486.022024,0.0
2.029515,834,6510.595378,0.0
2.061442,834,6534.547892,0.0
2.074656,834,6561.996055,0.0
1.773317,834,6585.187068,0.0
2.158648,834,6608.361391,0.0
2.268407,834,6632.624881,0.0
2.129065,834,6656.394867,0.0
1.811305,834,6680.391736,0.0
2.2898,834,6703.070887,0.0
1.850576,834,6725.769765,0.0
2.149679,834,6753.140318,0.0
0.234195,834,6778.49374,0.0
2.184638,834,6805.725712,0.0
2.086595,834,6830.057481,0.0
2.012405,834,6853.592107,0.0
2.04559,834,6878.322861,0.0
1.78408,834,6903.900536,0.0
2.052535,834,6930.869428,0.0
1.823579,834,6956.18337,0.0
