policy_loss:-0.003498853,value_loss:0.00850435,policy_entropy:14.021406,approxkl:0.03408514,clipfrac:0.37791663,
policy_loss:0.0037433705,value_loss:0.0073505193,policy_entropy:14.024066,approxkl:0.027511248,clipfrac:0.3418749,
policy_loss:-0.0037831943,value_loss:0.010136056,policy_entropy:14.035121,approxkl:0.034093168,clipfrac:0.40291652,
policy_loss:-0.0014327995,value_loss:0.030144032,policy_entropy:14.058179,approxkl:0.045340963,clipfrac:0.4095834,
policy_loss:-0.0017994294,value_loss:0.023935528,policy_entropy:14.087942,approxkl:0.05143996,clipfrac:0.4270833,
policy_loss:-0.005423387,value_loss:0.011094918,policy_entropy:14.095739,approxkl:0.029519444,clipfrac:0.35791647,
policy_loss:-0.0014197594,value_loss:0.011582725,policy_entropy:14.089628,approxkl:0.029909793,clipfrac:0.37583324,
policy_loss:-6.210523e-05,value_loss:0.0084180925,policy_entropy:14.083626,approxkl:0.025848731,clipfrac:0.3383332,
policy_loss:-0.0038749266,value_loss:0.007854874,policy_entropy:14.091169,approxkl:0.034104533,clipfrac:0.3879166,
policy_loss:-0.0063699326,value_loss:0.006344521,policy_entropy:14.101718,approxkl:0.027195504,clipfrac:0.34354174,
policy_loss:-0.0041197157,value_loss:0.007557994,policy_entropy:14.106891,approxkl:0.029365424,clipfrac:0.35479164,
policy_loss:-0.0074961307,value_loss:0.006296846,policy_entropy:14.107246,approxkl:0.03364954,clipfrac:0.37729162,
policy_loss:-0.0025446706,value_loss:0.005218468,policy_entropy:14.099385,approxkl:0.0259756,clipfrac:0.3272916,
policy_loss:-0.0027100523,value_loss:0.005720519,policy_entropy:14.122103,approxkl:0.033275865,clipfrac:0.39687482,
policy_loss:-0.0023260836,value_loss:0.0073503084,policy_entropy:14.139364,approxkl:0.040838376,clipfrac:0.4100001,
policy_loss:0.004176162,value_loss:0.0061315913,policy_entropy:14.135715,approxkl:0.031176034,clipfrac:0.37416655,
policy_loss:0.0021017904,value_loss:0.007973267,policy_entropy:14.138201,approxkl:0.03124032,clipfrac:0.36937493,
policy_loss:0.007326018,value_loss:0.026631918,policy_entropy:14.146497,approxkl:0.052236844,clipfrac:0.42770824,
policy_loss:0.006970384,value_loss:0.02160908,policy_entropy:14.155635,approxkl:0.054982178,clipfrac:0.44020838,
policy_loss:-0.0064024953,value_loss:0.0111947125,policy_entropy:14.172953,approxkl:0.035505094,clipfrac:0.3791665,
policy_loss:-0.007488454,value_loss:0.009855827,policy_entropy:14.19414,approxkl:0.032320734,clipfrac:0.37729162,
policy_loss:0.0007893719,value_loss:0.0119581185,policy_entropy:14.211565,approxkl:0.028078567,clipfrac:0.3316666,
policy_loss:-0.0031808622,value_loss:0.009586756,policy_entropy:14.229828,approxkl:0.02976563,clipfrac:0.36541647,
policy_loss:-0.0005645555,value_loss:0.008861039,policy_entropy:14.259642,approxkl:0.033154316,clipfrac:0.3785416,
policy_loss:0.0053389193,value_loss:0.007915989,policy_entropy:14.275973,approxkl:0.03395712,clipfrac:0.34999996,
policy_loss:-0.004339419,value_loss:0.0083356,policy_entropy:14.289617,approxkl:0.029417599,clipfrac:0.3577083,
policy_loss:-0.0061030826,value_loss:0.009867283,policy_entropy:14.291896,approxkl:0.03906562,clipfrac:0.40333325,
policy_loss:-0.003667996,value_loss:0.008894222,policy_entropy:14.307002,approxkl:0.043842807,clipfrac:0.4308334,
policy_loss:-0.0007238421,value_loss:0.006542608,policy_entropy:14.332097,approxkl:0.027461449,clipfrac:0.3335417,
policy_loss:0.001409052,value_loss:0.00888052,policy_entropy:14.344022,approxkl:0.030867904,clipfrac:0.365,
policy_loss:0.005502808,value_loss:0.007290393,policy_entropy:14.356008,approxkl:0.029978836,clipfrac:0.35958323,
policy_loss:0.0008116973,value_loss:0.036633715,policy_entropy:14.361218,approxkl:0.05097256,clipfrac:0.4083334,
policy_loss:0.000877343,value_loss:0.020284856,policy_entropy:14.363235,approxkl:0.03568169,clipfrac:0.37624997,
policy_loss:-0.00588798,value_loss:0.0103203785,policy_entropy:14.396675,approxkl:0.029382229,clipfrac:0.36583322,
policy_loss:0.0015286125,value_loss:0.0077737113,policy_entropy:14.427734,approxkl:0.028253853,clipfrac:0.35145822,
policy_loss:0.008838255,value_loss:0.0072055557,policy_entropy:14.452782,approxkl:0.029360473,clipfrac:0.3758333,
policy_loss:-0.00016189218,value_loss:0.008812426,policy_entropy:14.4743595,approxkl:0.038081,clipfrac:0.39083323,
policy_loss:-0.00058669946,value_loss:0.0063485294,policy_entropy:14.491267,approxkl:0.031625595,clipfrac:0.37062496,
policy_loss:-0.001345283,value_loss:0.0075489655,policy_entropy:14.518448,approxkl:0.03029478,clipfrac:0.3756249,
policy_loss:-0.0010857562,value_loss:0.00687874,policy_entropy:14.538506,approxkl:0.03351974,clipfrac:0.36770824,
policy_loss:-0.010993866,value_loss:0.0063395463,policy_entropy:14.556559,approxkl:0.03198857,clipfrac:0.3677083,
policy_loss:0.0012589222,value_loss:0.0064231553,policy_entropy:14.568631,approxkl:0.032660775,clipfrac:0.36708325,
policy_loss:-0.0010298052,value_loss:0.0057751937,policy_entropy:14.568537,approxkl:0.03545886,clipfrac:0.39812493,
policy_loss:-0.002269939,value_loss:0.005480416,policy_entropy:14.563364,approxkl:0.039507598,clipfrac:0.42937487,
policy_loss:-0.0020480354,value_loss:0.0063139424,policy_entropy:14.558415,approxkl:0.035440892,clipfrac:0.38791662,
policy_loss:0.0051562604,value_loss:0.027676145,policy_entropy:14.578245,approxkl:0.074599676,clipfrac:0.48687506,
policy_loss:0.005367458,value_loss:0.009404352,policy_entropy:14.580706,approxkl:0.03869214,clipfrac:0.39812493,
policy_loss:-0.0013728365,value_loss:0.009973129,policy_entropy:14.577812,approxkl:0.040574122,clipfrac:0.39124998,
policy_loss:0.0028209635,value_loss:0.0055964002,policy_entropy:14.584753,approxkl:0.03126598,clipfrac:0.356875,
policy_loss:0.00059941167,value_loss:0.006386063,policy_entropy:14.587172,approxkl:0.036300592,clipfrac:0.40979165,
policy_loss:0.0036297892,value_loss:0.00510309,policy_entropy:14.59057,approxkl:0.026351769,clipfrac:0.34166655,
policy_loss:-0.0006250539,value_loss:0.004576607,policy_entropy:14.6206,approxkl:0.03003796,clipfrac:0.36875,
policy_loss:-0.0027606948,value_loss:0.006197707,policy_entropy:14.651186,approxkl:0.033320908,clipfrac:0.37333328,
policy_loss:0.008429689,value_loss:0.0070217326,policy_entropy:14.64272,approxkl:0.03426212,clipfrac:0.38145825,
policy_loss:-0.0012091559,value_loss:0.0068243183,policy_entropy:14.643854,approxkl:0.034303375,clipfrac:0.37270832,
policy_loss:-0.0018421311,value_loss:0.006394214,policy_entropy:14.646281,approxkl:0.028367821,clipfrac:0.33958325,
policy_loss:-0.008071899,value_loss:0.008534702,policy_entropy:14.635129,approxkl:0.046947725,clipfrac:0.42812485,
policy_loss:-0.0041777436,value_loss:0.012496477,policy_entropy:14.640327,approxkl:0.038513333,clipfrac:0.38374993,
policy_loss:-0.0063951267,value_loss:0.012596136,policy_entropy:14.649816,approxkl:0.046321843,clipfrac:0.44375014,
policy_loss:0.002076766,value_loss:0.032981537,policy_entropy:14.658155,approxkl:0.05178368,clipfrac:0.42812496,
policy_loss:-0.0006734691,value_loss:0.011798501,policy_entropy:14.677251,approxkl:0.043926485,clipfrac:0.42958346,
policy_loss:-0.0022996315,value_loss:0.008811417,policy_entropy:14.686183,approxkl:0.030178856,clipfrac:0.3581249,
policy_loss:-0.0013551456,value_loss:0.0075503737,policy_entropy:14.696551,approxkl:0.042232346,clipfrac:0.424375,
policy_loss:0.0018484428,value_loss:0.0046664514,policy_entropy:14.713814,approxkl:0.031684745,clipfrac:0.35687494,
policy_loss:-8.235406e-06,value_loss:0.006496138,policy_entropy:14.7155485,approxkl:0.030220952,clipfrac:0.36395833,
policy_loss:0.0044164406,value_loss:0.00671925,policy_entropy:14.721832,approxkl:0.03529805,clipfrac:0.36666662,
policy_loss:-0.0027500242,value_loss:0.0051896116,policy_entropy:14.730354,approxkl:0.030594757,clipfrac:0.36291665,
policy_loss:0.0010907572,value_loss:0.0071699,policy_entropy:14.729625,approxkl:0.03310835,clipfrac:0.3641665,
policy_loss:0.0044723693,value_loss:0.006625477,policy_entropy:14.743818,approxkl:0.033550747,clipfrac:0.3825,
policy_loss:-0.0015229783,value_loss:0.0068956977,policy_entropy:14.748836,approxkl:0.030006677,clipfrac:0.33083326,
policy_loss:-0.00086262694,value_loss:0.006428684,policy_entropy:14.770549,approxkl:0.035631306,clipfrac:0.39333326,
policy_loss:0.00746137,value_loss:0.0043786345,policy_entropy:14.789577,approxkl:0.030991519,clipfrac:0.36229163,
policy_loss:0.007267432,value_loss:0.0063731796,policy_entropy:14.7886305,approxkl:0.031535268,clipfrac:0.3745833,
policy_loss:0.0037462185,value_loss:0.022621727,policy_entropy:14.789703,approxkl:0.04040978,clipfrac:0.41541657,
policy_loss:2.6934384e-05,value_loss:0.016799854,policy_entropy:14.821007,approxkl:0.042385735,clipfrac:0.39895824,
policy_loss:-0.0056163142,value_loss:0.0101854745,policy_entropy:14.84595,approxkl:0.029376969,clipfrac:0.36020824,
policy_loss:0.0011017943,value_loss:0.00876514,policy_entropy:14.852312,approxkl:0.03666889,clipfrac:0.39083335,
policy_loss:-0.00097339356,value_loss:0.0054212837,policy_entropy:14.847168,approxkl:0.03208701,clipfrac:0.3737499,
policy_loss:-0.0026015616,value_loss:0.007634897,policy_entropy:14.850176,approxkl:0.046053655,clipfrac:0.41895825,
policy_loss:-0.005222611,value_loss:0.004772397,policy_entropy:14.871225,approxkl:0.03496892,clipfrac:0.39708325,
policy_loss:-0.004148504,value_loss:0.0060096066,policy_entropy:14.891431,approxkl:0.032982633,clipfrac:0.38124996,
policy_loss:0.0026010466,value_loss:0.0066412464,policy_entropy:14.901102,approxkl:0.033597264,clipfrac:0.37145823,
policy_loss:0.0014001414,value_loss:0.005172041,policy_entropy:14.909134,approxkl:0.035538364,clipfrac:0.3833333,
policy_loss:0.0017399627,value_loss:0.0054625,policy_entropy:14.912318,approxkl:0.035087414,clipfrac:0.3822916,
policy_loss:0.0023235905,value_loss:0.006730619,policy_entropy:14.901868,approxkl:0.032435697,clipfrac:0.3577083,
policy_loss:0.004501265,value_loss:0.005685398,policy_entropy:14.911786,approxkl:0.036994845,clipfrac:0.40020823,
policy_loss:0.002061834,value_loss:0.0075981254,policy_entropy:14.932314,approxkl:0.035319507,clipfrac:0.3895833,
policy_loss:0.015620085,value_loss:0.03286525,policy_entropy:14.949059,approxkl:0.07875475,clipfrac:0.4954167,
policy_loss:0.0013572604,value_loss:0.01247506,policy_entropy:14.9648695,approxkl:0.0414436,clipfrac:0.4129166,
policy_loss:-0.00072385033,value_loss:0.010606667,policy_entropy:14.974935,approxkl:0.039242912,clipfrac:0.39249992,
policy_loss:-0.005093689,value_loss:0.008405107,policy_entropy:14.996145,approxkl:0.033445574,clipfrac:0.36229163,
policy_loss:-0.0032284656,value_loss:0.008759259,policy_entropy:14.997296,approxkl:0.031697564,clipfrac:0.3666665,
policy_loss:0.0014846635,value_loss:0.006863297,policy_entropy:14.989038,approxkl:0.0288514,clipfrac:0.34999996,
policy_loss:-0.0004676057,value_loss:0.005343242,policy_entropy:15.009961,approxkl:0.032002408,clipfrac:0.36937496,
policy_loss:0.001857201,value_loss:0.0045829504,policy_entropy:15.036763,approxkl:0.037708275,clipfrac:0.3820833,
policy_loss:-0.003946794,value_loss:0.0048544034,policy_entropy:15.046921,approxkl:0.03181444,clipfrac:0.3722916,
policy_loss:0.0031507604,value_loss:0.005990334,policy_entropy:15.065084,approxkl:0.030620301,clipfrac:0.37020814,
policy_loss:-0.007602657,value_loss:0.008176191,policy_entropy:15.0857725,approxkl:0.038720198,clipfrac:0.40833324,
policy_loss:-0.006772519,value_loss:0.008145582,policy_entropy:15.100131,approxkl:0.0386409,clipfrac:0.39708334,
policy_loss:0.0014078501,value_loss:0.0068438747,policy_entropy:15.106306,approxkl:0.036093127,clipfrac:0.3897916,
policy_loss:0.0045748125,value_loss:0.007962662,policy_entropy:15.115077,approxkl:0.037991144,clipfrac:0.42166668,
policy_loss:0.0073612877,value_loss:0.03629385,policy_entropy:15.133151,approxkl:0.051282037,clipfrac:0.43270817,
policy_loss:-0.008644001,value_loss:0.020807583,policy_entropy:15.145918,approxkl:0.04165145,clipfrac:0.409375,
policy_loss:0.0034212428,value_loss:0.00976478,policy_entropy:15.149608,approxkl:0.042437803,clipfrac:0.431875,
policy_loss:6.436542e-05,value_loss:0.008748754,policy_entropy:15.161395,approxkl:0.03511358,clipfrac:0.40166682,
policy_loss:-0.005774184,value_loss:0.00850814,policy_entropy:15.168776,approxkl:0.02875477,clipfrac:0.35041654,
policy_loss:-0.0012107745,value_loss:0.012253058,policy_entropy:15.16964,approxkl:0.03663237,clipfrac:0.41000003,
